Date,Review,Rating,Sentiment_Label,Clean_Review
2020-09-01,relaxing staff and friendly service,4,positive,relaxing staff and friendly service
2021-10-05,overpriced lighting and terrible pricing and slow ambience,2,negative,overpriced lighting and terrible pricing and slow ambience
2021-09-29,amazing staff and friendly lighting,4,positive,amazing staff and friendly lighting
2020-01-05,The menu and lighting and music were okay.,3,neutral,the menu and lighting and music were okay
2022-02-11,perfect lighting and great staff,3,positive,perfect lighting and great staff
2019-06-10,quick music and outstanding waiting time,4,positive,quick music and outstanding waiting time
2022-02-21,poor pricing and overpriced music and terrible menu,2,negative,poor pricing and overpriced music and terrible menu
2022-02-18,quick ambience and great food,5,positive,quick ambience and great food
2020-09-16,loved the music and great staff and quick service,3,positive,loved the music and great staff and quick service
2023-08-27,perfect music and relaxing lighting and perfect ambience,3,positive,perfect music and relaxing lighting and perfect ambience
2020-06-23,The waiting time were okay.,3,neutral,the waiting time were okay
2019-01-23,The service and music and ambience were okay.,3,neutral,the service and music and ambience were okay
2021-03-08,The service and menu and pricing were okay.,3,neutral,the service and menu and pricing were okay
2019-04-08,delicious service and amazing cleanliness and perfect staff,3,positive,delicious service and amazing cleanliness and perfect staff
2023-11-10,outstanding waiting time and delicious menu and affordable ambience,5,positive,outstanding waiting time and delicious menu and affordable ambience
2024-04-03,delicious ambience and quick music,4,positive,delicious ambience and quick music
2019-06-11,perfect cleanliness and quick menu and delicious waiting time,3,positive,perfect cleanliness and quick menu and delicious waiting time
2021-11-12,delicious pricing,5,positive,delicious pricing
2020-12-05,amazing food and affordable service,5,positive,amazing food and affordable service
2023-09-02,loved the cleanliness and delicious service,3,positive,loved the cleanliness and delicious service
2023-06-18,amazing menu and quick pricing and amazing food,4,positive,amazing menu and quick pricing and amazing food
2019-08-18,quick cleanliness,3,positive,quick cleanliness
2021-10-29,relaxing waiting time,3,positive,relaxing waiting time
2020-02-15,relaxing service and friendly pricing,3,positive,relaxing service and friendly pricing
2022-05-12,The music and service and pricing were okay.,3,neutral,the music and service and pricing were okay
2021-10-04,affordable pricing and friendly lighting,3,positive,affordable pricing and friendly lighting
2020-11-22,relaxing menu and delicious music,3,positive,relaxing menu and delicious music
2021-12-14,delicious menu and affordable food and affordable ambience,5,positive,delicious menu and affordable food and affordable ambience
2020-08-28,hated the food,1,negative,hated the food
2022-11-28,friendly waiting time,5,positive,friendly waiting time
2023-11-10,outstanding food and great lighting and amazing pricing,3,positive,outstanding food and great lighting and amazing pricing
2020-12-02,quick music and quick waiting time and outstanding food,4,positive,quick music and quick waiting time and outstanding food
2021-04-08,outstanding food and friendly service and quick cleanliness,5,positive,outstanding food and friendly service and quick cleanliness
2022-02-19,noisy service and dirty food,3,negative,noisy service and dirty food
2021-09-30,poor music and long wait pricing,2,negative,poor music and long wait pricing
2024-11-28,The cleanliness and pricing were okay.,3,neutral,the cleanliness and pricing were okay
2022-09-11,noisy waiting time and noisy staff and long wait service,3,negative,noisy waiting time and noisy staff and long wait service
2023-03-09,The waiting time and food were okay.,3,neutral,the waiting time and food were okay
2021-12-15,long wait ambience and bad menu and overpriced cleanliness,2,negative,long wait ambience and bad menu and overpriced cleanliness
2020-07-27,outstanding pricing,5,positive,outstanding pricing
2019-05-22,overpriced food and long wait waiting time and long wait music,1,negative,overpriced food and long wait waiting time and long wait music
2022-07-14,quick service,4,positive,quick service
2020-03-25,overpriced music and poor waiting time and slow ambience,2,negative,overpriced music and poor waiting time and slow ambience
2020-09-06,great waiting time and delicious music,4,positive,great waiting time and delicious music
2021-04-13,noisy pricing and rude staff,1,negative,noisy pricing and rude staff
2023-06-02,The music and cleanliness and food were okay.,3,neutral,the music and cleanliness and food were okay
2020-07-14,great waiting time and outstanding menu and loved the ambience,5,positive,great waiting time and outstanding menu and loved the ambience
2024-11-15,overpriced lighting and overpriced cleanliness and overpriced waiting time,2,negative,overpriced lighting and overpriced cleanliness and overpriced waiting time
2021-11-23,delicious lighting and quick cleanliness,3,positive,delicious lighting and quick cleanliness
2024-08-15,delicious menu and friendly waiting time and quick staff,5,positive,delicious menu and friendly waiting time and quick staff
2024-02-08,The waiting time and food and cleanliness were okay.,3,neutral,the waiting time and food and cleanliness were okay
2022-10-20,The staff and waiting time and lighting were okay.,3,neutral,the staff and waiting time and lighting were okay
2024-03-29,affordable staff and quick pricing,3,positive,affordable staff and quick pricing
2024-05-31,outstanding food and outstanding pricing and perfect staff,5,positive,outstanding food and outstanding pricing and perfect staff
2022-01-28,delicious service,4,positive,delicious service
2020-08-10,slow music and long wait service and poor waiting time,2,negative,slow music and long wait service and poor waiting time
2020-04-16,affordable waiting time and friendly ambience and delicious menu,3,positive,affordable waiting time and friendly ambience and delicious menu
2021-12-28,terrible ambience and bad music,1,negative,terrible ambience and bad music
2021-12-22,long wait service and poor waiting time and dirty food,3,negative,long wait service and poor waiting time and dirty food
2023-03-19,friendly music and amazing food and quick lighting,3,positive,friendly music and amazing food and quick lighting
2024-03-14,rude lighting and slow waiting time and slow pricing,3,negative,rude lighting and slow waiting time and slow pricing
2021-02-12,perfect music and outstanding lighting and great menu,4,positive,perfect music and outstanding lighting and great menu
2023-05-03,quick waiting time and quick staff,5,positive,quick waiting time and quick staff
2021-03-15,relaxing lighting and affordable food and loved the pricing,5,positive,relaxing lighting and affordable food and loved the pricing
2023-11-07,friendly lighting and amazing staff and loved the food,4,positive,friendly lighting and amazing staff and loved the food
2021-02-11,great music and great pricing,3,positive,great music and great pricing
2021-06-11,The music and food and menu were okay.,3,neutral,the music and food and menu were okay
2020-06-15,noisy lighting and long wait staff and terrible food,2,negative,noisy lighting and long wait staff and terrible food
2022-05-15,overpriced service,2,negative,overpriced service
2024-01-12,delicious menu and great cleanliness,5,positive,delicious menu and great cleanliness
2021-12-18,great ambience and quick menu and affordable pricing,5,positive,great ambience and quick menu and affordable pricing
2022-02-13,long wait pricing,2,negative,long wait pricing
2019-07-31,long wait cleanliness and bad service,2,negative,long wait cleanliness and bad service
2024-06-10,great food and outstanding staff,4,positive,great food and outstanding staff
2022-06-14,great waiting time,4,positive,great waiting time
2021-12-27,poor food,1,negative,poor food
2021-10-23,relaxing menu,5,positive,relaxing menu
2020-01-18,delicious pricing and affordable lighting,5,positive,delicious pricing and affordable lighting
2023-08-10,friendly waiting time and quick music and quick staff,4,positive,friendly waiting time and quick music and quick staff
2023-11-19,The service and staff were okay.,3,neutral,the service and staff were okay
2020-02-07,perfect menu and affordable staff,5,positive,perfect menu and affordable staff
2021-05-09,affordable staff and great cleanliness,5,positive,affordable staff and great cleanliness
2021-02-02,long wait service and hated the staff,3,negative,long wait service and hated the staff
2019-01-02,affordable ambience,4,positive,affordable ambience
2019-07-30,loved the lighting and great music,5,positive,loved the lighting and great music
2019-11-20,relaxing lighting and affordable waiting time and relaxing cleanliness,5,positive,relaxing lighting and affordable waiting time and relaxing cleanliness
2019-07-06,relaxing service and outstanding cleanliness,3,positive,relaxing service and outstanding cleanliness
2022-04-26,loved the staff,3,positive,loved the staff
2022-01-16,dirty food and slow staff,3,negative,dirty food and slow staff
2021-04-07,The service and menu were okay.,3,neutral,the service and menu were okay
2024-03-02,quick food and amazing lighting and delicious pricing,5,positive,quick food and amazing lighting and delicious pricing
2024-10-02,hated the lighting,3,negative,hated the lighting
2023-04-29,delicious cleanliness,4,positive,delicious cleanliness
2022-03-29,perfect waiting time and quick food and outstanding lighting,5,positive,perfect waiting time and quick food and outstanding lighting
2020-05-24,poor menu and overpriced pricing,1,negative,poor menu and overpriced pricing
2021-03-10,The music and lighting and ambience were okay.,3,neutral,the music and lighting and ambience were okay
2021-09-01,long wait waiting time,2,negative,long wait waiting time
2020-01-01,friendly service and quick cleanliness and affordable music,5,positive,friendly service and quick cleanliness and affordable music
2020-08-27,amazing staff and loved the menu and quick cleanliness,4,positive,amazing staff and loved the menu and quick cleanliness
2023-02-08,great ambience and friendly cleanliness and delicious lighting,5,positive,great ambience and friendly cleanliness and delicious lighting
2019-07-12,amazing cleanliness and delicious food and friendly lighting,4,positive,amazing cleanliness and delicious food and friendly lighting
2021-12-15,amazing service and relaxing lighting and loved the staff,3,positive,amazing service and relaxing lighting and loved the staff
2021-07-12,loved the menu and perfect food and perfect staff,4,positive,loved the menu and perfect food and perfect staff
2021-07-13,loved the lighting and amazing pricing,4,positive,loved the lighting and amazing pricing
2021-05-13,loved the pricing and perfect ambience,3,positive,loved the pricing and perfect ambience
2021-02-25,great pricing and relaxing music and relaxing lighting,4,positive,great pricing and relaxing music and relaxing lighting
2020-08-27,slow cleanliness and poor waiting time and hated the ambience,1,negative,slow cleanliness and poor waiting time and hated the ambience
2020-11-21,outstanding lighting and friendly pricing,3,positive,outstanding lighting and friendly pricing
2020-10-25,great pricing,4,positive,great pricing
2020-10-02,The service were okay.,3,neutral,the service were okay
2019-12-20,amazing menu,4,positive,amazing menu
2020-12-30,great waiting time and relaxing cleanliness,5,positive,great waiting time and relaxing cleanliness
2019-07-12,The pricing and service and food were okay.,3,neutral,the pricing and service and food were okay
2021-08-05,The music and pricing and lighting were okay.,3,neutral,the music and pricing and lighting were okay
2023-05-17,quick cleanliness and relaxing music,4,positive,quick cleanliness and relaxing music
2021-05-16,rude lighting and bad food and long wait pricing,2,negative,rude lighting and bad food and long wait pricing
2020-07-31,outstanding music and friendly cleanliness,5,positive,outstanding music and friendly cleanliness
2019-06-01,The staff and menu and waiting time were okay.,3,neutral,the staff and menu and waiting time were okay
2021-08-25,affordable food and friendly ambience,3,positive,affordable food and friendly ambience
2022-10-30,bad ambience,1,negative,bad ambience
2022-12-19,long wait service,2,negative,long wait service
2023-05-05,slow music and bad ambience,1,negative,slow music and bad ambience
2021-06-07,long wait pricing and rude waiting time,1,negative,long wait pricing and rude waiting time
2021-09-19,delicious pricing and delicious food,4,positive,delicious pricing and delicious food
2021-04-17,poor waiting time,2,negative,poor waiting time
2021-07-02,terrible food and terrible service and long wait staff,1,negative,terrible food and terrible service and long wait staff
2023-02-12,overpriced food and dirty cleanliness and noisy pricing,2,negative,overpriced food and dirty cleanliness and noisy pricing
2023-04-25,terrible menu,2,negative,terrible menu
2020-08-18,The service and waiting time and cleanliness were okay.,3,neutral,the service and waiting time and cleanliness were okay
2023-08-08,dirty food,3,negative,dirty food
2019-03-21,dirty cleanliness,1,negative,dirty cleanliness
2024-02-14,slow waiting time,1,negative,slow waiting time
2020-12-03,perfect music and quick lighting,4,positive,perfect music and quick lighting
2019-06-13,loved the pricing,5,positive,loved the pricing
2019-07-17,dirty pricing and hated the lighting,2,negative,dirty pricing and hated the lighting
2021-11-03,delicious ambience and perfect music and amazing service,4,positive,delicious ambience and perfect music and amazing service
2024-03-26,loved the ambience and amazing pricing,4,positive,loved the ambience and amazing pricing
2022-04-06,terrible staff,1,negative,terrible staff
2019-01-17,friendly cleanliness,4,positive,friendly cleanliness
2019-12-26,outstanding service and amazing staff,4,positive,outstanding service and amazing staff
2020-07-05,outstanding lighting and outstanding ambience,4,positive,outstanding lighting and outstanding ambience
2024-02-18,rude food and dirty waiting time,3,negative,rude food and dirty waiting time
2019-06-17,perfect menu and friendly food and amazing staff,4,positive,perfect menu and friendly food and amazing staff
2024-09-19,amazing waiting time and delicious cleanliness and great music,5,positive,amazing waiting time and delicious cleanliness and great music
2024-07-23,The pricing and menu and food were okay.,3,neutral,the pricing and menu and food were okay
2021-03-15,perfect music and outstanding cleanliness and amazing service,3,positive,perfect music and outstanding cleanliness and amazing service
2021-12-09,The waiting time and ambience were okay.,3,neutral,the waiting time and ambience were okay
2024-04-23,bad cleanliness,1,negative,bad cleanliness
2020-04-19,long wait waiting time and poor lighting and dirty menu,1,negative,long wait waiting time and poor lighting and dirty menu
2021-10-24,outstanding lighting and affordable food and friendly pricing,4,positive,outstanding lighting and affordable food and friendly pricing
2023-06-22,loved the pricing and amazing food and loved the music,4,positive,loved the pricing and amazing food and loved the music
2023-08-13,bad staff,3,negative,bad staff
2022-07-23,The menu and staff and music were okay.,3,neutral,the menu and staff and music were okay
2022-09-21,The food and waiting time and service were okay.,3,neutral,the food and waiting time and service were okay
2024-12-03,friendly ambience and amazing music,4,positive,friendly ambience and amazing music
2020-06-20,relaxing staff and amazing lighting,3,positive,relaxing staff and amazing lighting
2019-10-24,great staff and friendly service,5,positive,great staff and friendly service
2024-07-31,outstanding service and great menu and amazing lighting,4,positive,outstanding service and great menu and amazing lighting
2019-03-21,affordable music and delicious ambience and outstanding service,4,positive,affordable music and delicious ambience and outstanding service
2019-05-31,overpriced food and terrible staff,2,negative,overpriced food and terrible staff
2020-11-01,rude pricing,3,negative,rude pricing
2024-12-24,loved the lighting and perfect food,3,positive,loved the lighting and perfect food
2021-04-13,delicious menu and quick cleanliness,4,positive,delicious menu and quick cleanliness
2024-02-24,poor cleanliness and terrible lighting and overpriced staff,3,negative,poor cleanliness and terrible lighting and overpriced staff
2020-07-27,relaxing cleanliness and loved the staff,3,positive,relaxing cleanliness and loved the staff
2019-07-11,slow pricing and hated the ambience and long wait service,1,negative,slow pricing and hated the ambience and long wait service
2024-04-16,perfect waiting time and perfect menu and delicious cleanliness,5,positive,perfect waiting time and perfect menu and delicious cleanliness
2022-01-01,loved the cleanliness,3,positive,loved the cleanliness
2020-10-22,The ambience and food were okay.,3,neutral,the ambience and food were okay
2019-08-10,friendly menu and perfect food and affordable music,5,positive,friendly menu and perfect food and affordable music
2019-11-02,perfect waiting time and delicious ambience,4,positive,perfect waiting time and delicious ambience
2022-05-17,great pricing and relaxing cleanliness and delicious food,3,positive,great pricing and relaxing cleanliness and delicious food
2020-03-21,affordable music,4,positive,affordable music
2019-07-05,loved the food,5,positive,loved the food
2019-09-15,outstanding waiting time and affordable staff and delicious food,3,positive,outstanding waiting time and affordable staff and delicious food
2024-02-15,delicious staff and relaxing ambience and relaxing service,5,positive,delicious staff and relaxing ambience and relaxing service
2020-12-26,The staff and cleanliness and pricing were okay.,3,neutral,the staff and cleanliness and pricing were okay
2020-05-22,great ambience and amazing staff and outstanding service,3,positive,great ambience and amazing staff and outstanding service
2021-02-01,bad cleanliness and poor waiting time and terrible staff,1,negative,bad cleanliness and poor waiting time and terrible staff
2024-01-20,The cleanliness and menu were okay.,3,neutral,the cleanliness and menu were okay
2023-04-03,The food and waiting time were okay.,3,neutral,the food and waiting time were okay
2024-10-31,great pricing and quick cleanliness,4,positive,great pricing and quick cleanliness
2024-08-23,friendly pricing and relaxing service,5,positive,friendly pricing and relaxing service
2024-09-27,outstanding music and quick staff and quick service,5,positive,outstanding music and quick staff and quick service
2024-11-07,quick staff and affordable cleanliness,3,positive,quick staff and affordable cleanliness
2024-12-30,great staff and loved the waiting time and quick lighting,5,positive,great staff and loved the waiting time and quick lighting
2019-08-01,affordable cleanliness and outstanding ambience,5,positive,affordable cleanliness and outstanding ambience
2021-02-18,relaxing cleanliness and friendly service and quick music,3,positive,relaxing cleanliness and friendly service and quick music
2024-04-11,perfect service and loved the staff and outstanding lighting,3,positive,perfect service and loved the staff and outstanding lighting
2024-04-12,delicious ambience and delicious service,3,positive,delicious ambience and delicious service
2019-01-24,The music and staff and cleanliness were okay.,3,neutral,the music and staff and cleanliness were okay
2021-08-06,The menu and ambience and waiting time were okay.,3,neutral,the menu and ambience and waiting time were okay
2023-08-15,perfect waiting time and outstanding food,3,positive,perfect waiting time and outstanding food
2023-07-21,long wait waiting time and slow pricing and slow lighting,1,negative,long wait waiting time and slow pricing and slow lighting
2024-03-31,dirty food and hated the ambience and terrible cleanliness,1,negative,dirty food and hated the ambience and terrible cleanliness
2021-04-29,friendly service and perfect cleanliness,4,positive,friendly service and perfect cleanliness
2020-10-08,slow waiting time and terrible music and terrible staff,1,negative,slow waiting time and terrible music and terrible staff
2022-02-09,relaxing pricing,3,positive,relaxing pricing
2020-12-16,relaxing staff,5,positive,relaxing staff
2023-03-20,overpriced staff and bad cleanliness and poor waiting time,1,negative,overpriced staff and bad cleanliness and poor waiting time
2021-07-28,relaxing ambience and friendly cleanliness and great staff,4,positive,relaxing ambience and friendly cleanliness and great staff
2024-09-15,overpriced music and overpriced ambience,3,negative,overpriced music and overpriced ambience
2022-12-22,overpriced lighting,3,negative,overpriced lighting
2019-11-10,amazing cleanliness,4,positive,amazing cleanliness
2022-03-28,relaxing waiting time and delicious pricing,4,positive,relaxing waiting time and delicious pricing
2024-06-03,overpriced music,2,negative,overpriced music
2024-05-25,affordable waiting time and friendly cleanliness,3,positive,affordable waiting time and friendly cleanliness
2022-01-09,slow waiting time and bad cleanliness and bad pricing,1,negative,slow waiting time and bad cleanliness and bad pricing
2021-11-13,relaxing lighting and affordable ambience,4,positive,relaxing lighting and affordable ambience
2023-03-23,loved the service,4,positive,loved the service
2024-05-10,outstanding staff and friendly menu,3,positive,outstanding staff and friendly menu
2020-11-03,friendly ambience and perfect food and outstanding staff,3,positive,friendly ambience and perfect food and outstanding staff
2020-06-30,delicious cleanliness and affordable waiting time,5,positive,delicious cleanliness and affordable waiting time
2019-09-11,poor staff and rude food,3,negative,poor staff and rude food
2021-03-07,friendly music and great menu,3,positive,friendly music and great menu
2023-12-16,great cleanliness and perfect pricing and loved the music,5,positive,great cleanliness and perfect pricing and loved the music
2024-01-03,The ambience and food and cleanliness were okay.,3,neutral,the ambience and food and cleanliness were okay
2020-01-06,loved the menu and delicious food,5,positive,loved the menu and delicious food
2019-11-11,The waiting time and menu and staff were okay.,3,neutral,the waiting time and menu and staff were okay
2023-09-27,amazing service and quick staff,4,positive,amazing service and quick staff
2022-01-31,hated the music and rude staff and dirty food,1,negative,hated the music and rude staff and dirty food
2024-11-04,amazing lighting and relaxing menu and relaxing food,5,positive,amazing lighting and relaxing menu and relaxing food
2024-09-05,The ambience and waiting time and service were okay.,3,neutral,the ambience and waiting time and service were okay
2024-05-05,relaxing ambience and friendly food,4,positive,relaxing ambience and friendly food
2020-05-24,delicious staff and relaxing service and friendly menu,3,positive,delicious staff and relaxing service and friendly menu
2024-01-01,delicious waiting time and friendly menu and outstanding food,5,positive,delicious waiting time and friendly menu and outstanding food
2022-04-13,loved the food and loved the lighting and delicious music,4,positive,loved the food and loved the lighting and delicious music
2022-07-31,noisy lighting and slow pricing,1,negative,noisy lighting and slow pricing
2022-06-15,relaxing service and friendly staff and loved the food,4,positive,relaxing service and friendly staff and loved the food
2019-05-09,delicious pricing and amazing music,3,positive,delicious pricing and amazing music
2021-02-28,great food and friendly ambience and perfect staff,3,positive,great food and friendly ambience and perfect staff
2019-04-03,great lighting and outstanding food,5,positive,great lighting and outstanding food
2019-10-04,affordable staff and great lighting,5,positive,affordable staff and great lighting
2019-07-13,dirty pricing and long wait music and slow cleanliness,3,negative,dirty pricing and long wait music and slow cleanliness
2022-09-12,hated the staff,2,negative,hated the staff
2022-09-22,dirty lighting,1,negative,dirty lighting
2022-05-07,hated the pricing,2,negative,hated the pricing
2023-07-20,outstanding waiting time and relaxing pricing,3,positive,outstanding waiting time and relaxing pricing
2024-12-07,quick ambience and quick lighting and perfect music,4,positive,quick ambience and quick lighting and perfect music
2022-08-13,great music and loved the menu,3,positive,great music and loved the menu
2019-12-19,loved the lighting,4,positive,loved the lighting
2024-01-05,The food and staff and music were okay.,3,neutral,the food and staff and music were okay
2021-05-29,bad staff and bad music and rude menu,2,negative,bad staff and bad music and rude menu
2021-02-16,friendly service and amazing pricing,3,positive,friendly service and amazing pricing
2020-02-05,slow ambience and slow pricing and long wait lighting,1,negative,slow ambience and slow pricing and long wait lighting
2021-10-01,The lighting and waiting time and service were okay.,3,neutral,the lighting and waiting time and service were okay
2022-11-05,great food and delicious lighting,5,positive,great food and delicious lighting
2021-05-15,great pricing and relaxing food,4,positive,great pricing and relaxing food
2020-03-24,dirty pricing and terrible lighting,2,negative,dirty pricing and terrible lighting
2022-06-01,amazing food and amazing pricing and great menu,5,positive,amazing food and amazing pricing and great menu
2020-02-02,friendly menu and quick cleanliness,5,positive,friendly menu and quick cleanliness
2024-05-09,perfect pricing and perfect lighting,3,positive,perfect pricing and perfect lighting
2023-01-17,relaxing service and outstanding music and quick ambience,4,positive,relaxing service and outstanding music and quick ambience
2022-08-29,delicious service and quick staff and amazing food,5,positive,delicious service and quick staff and amazing food
2022-10-06,The staff and service were okay.,3,neutral,the staff and service were okay
2022-06-12,perfect cleanliness and great staff and affordable service,4,positive,perfect cleanliness and great staff and affordable service
2019-01-02,long wait staff and long wait music and slow menu,3,negative,long wait staff and long wait music and slow menu
2022-05-17,relaxing food and amazing lighting,3,positive,relaxing food and amazing lighting
2021-01-01,amazing food and perfect lighting,4,positive,amazing food and perfect lighting
2023-12-09,outstanding menu and quick music and perfect lighting,5,positive,outstanding menu and quick music and perfect lighting
2024-12-02,great lighting and loved the waiting time,4,positive,great lighting and loved the waiting time
2020-10-11,The menu and music and staff were okay.,3,neutral,the menu and music and staff were okay
2022-12-09,overpriced ambience and dirty waiting time,3,negative,overpriced ambience and dirty waiting time
2020-05-12,rude ambience and terrible waiting time,3,negative,rude ambience and terrible waiting time
2020-04-25,dirty music and bad food and poor lighting,1,negative,dirty music and bad food and poor lighting
2019-11-07,The staff and menu and music were okay.,3,neutral,the staff and menu and music were okay
2021-03-15,bad cleanliness and hated the service,1,negative,bad cleanliness and hated the service
2019-03-05,friendly menu and relaxing ambience and friendly food,3,positive,friendly menu and relaxing ambience and friendly food
2019-02-20,loved the staff and affordable waiting time and amazing menu,3,positive,loved the staff and affordable waiting time and amazing menu
2022-11-06,friendly lighting and perfect staff and quick music,4,positive,friendly lighting and perfect staff and quick music
2023-08-31,delicious waiting time and great service,3,positive,delicious waiting time and great service
2020-07-10,friendly cleanliness and perfect music,4,positive,friendly cleanliness and perfect music
2023-06-12,slow menu,3,negative,slow menu
2023-08-05,The ambience and pricing were okay.,3,neutral,the ambience and pricing were okay
2022-07-07,amazing music and amazing pricing,5,positive,amazing music and amazing pricing
2024-06-28,outstanding staff,4,positive,outstanding staff
2019-05-09,The waiting time and ambience and pricing were okay.,3,neutral,the waiting time and ambience and pricing were okay
2022-09-21,great music and perfect pricing,3,positive,great music and perfect pricing
2020-08-20,The ambience and staff were okay.,3,neutral,the ambience and staff were okay
2020-02-14,loved the staff and loved the waiting time,4,positive,loved the staff and loved the waiting time
2021-02-06,The music and service were okay.,3,neutral,the music and service were okay
2020-07-23,affordable lighting and perfect food,3,positive,affordable lighting and perfect food
2021-11-09,outstanding service and great ambience and delicious menu,5,positive,outstanding service and great ambience and delicious menu
2021-05-26,rude music,2,negative,rude music
2019-02-16,The pricing and service and lighting were okay.,3,neutral,the pricing and service and lighting were okay
2024-03-27,affordable ambience and outstanding menu and affordable pricing,4,positive,affordable ambience and outstanding menu and affordable pricing
2022-01-06,noisy food and overpriced service and poor cleanliness,3,negative,noisy food and overpriced service and poor cleanliness
2021-04-21,noisy service,2,negative,noisy service
2024-11-01,quick ambience and perfect staff and friendly food,4,positive,quick ambience and perfect staff and friendly food
2022-03-04,poor cleanliness and rude pricing and noisy music,3,negative,poor cleanliness and rude pricing and noisy music
2023-02-10,affordable lighting and affordable food and perfect menu,4,positive,affordable lighting and affordable food and perfect menu
2021-01-19,poor ambience and slow pricing,1,negative,poor ambience and slow pricing
2019-05-31,The pricing and service were okay.,3,neutral,the pricing and service were okay
2022-09-14,relaxing pricing and perfect food,4,positive,relaxing pricing and perfect food
2021-02-25,affordable food and loved the cleanliness and friendly ambience,4,positive,affordable food and loved the cleanliness and friendly ambience
2020-12-17,quick menu and perfect food,3,positive,quick menu and perfect food
2020-09-22,great staff and relaxing waiting time and friendly food,5,positive,great staff and relaxing waiting time and friendly food
2022-09-09,delicious staff and great music,4,positive,delicious staff and great music
2023-04-23,relaxing food and affordable lighting and amazing cleanliness,5,positive,relaxing food and affordable lighting and amazing cleanliness
2023-09-02,friendly service and delicious cleanliness and perfect ambience,4,positive,friendly service and delicious cleanliness and perfect ambience
2023-06-28,amazing staff and loved the lighting and great ambience,4,positive,amazing staff and loved the lighting and great ambience
2021-01-30,delicious pricing and relaxing music and affordable food,3,positive,delicious pricing and relaxing music and affordable food
2019-02-27,loved the service and amazing staff and perfect waiting time,5,positive,loved the service and amazing staff and perfect waiting time
2019-05-25,friendly ambience and delicious service and quick menu,4,positive,friendly ambience and delicious service and quick menu
2024-09-26,perfect staff and outstanding food and outstanding ambience,3,positive,perfect staff and outstanding food and outstanding ambience
2019-05-10,great ambience and delicious food,5,positive,great ambience and delicious food
2024-03-28,delicious waiting time and relaxing lighting,5,positive,delicious waiting time and relaxing lighting
2021-06-09,The staff and ambience and food were okay.,3,neutral,the staff and ambience and food were okay
2024-04-28,The lighting and waiting time were okay.,3,neutral,the lighting and waiting time were okay
2021-12-28,perfect lighting and delicious waiting time,5,positive,perfect lighting and delicious waiting time
2023-12-07,quick staff and quick service,4,positive,quick staff and quick service
2022-03-28,poor waiting time and overpriced service and long wait ambience,1,negative,poor waiting time and overpriced service and long wait ambience
2019-07-22,affordable cleanliness and loved the staff and outstanding lighting,4,positive,affordable cleanliness and loved the staff and outstanding lighting
2024-07-19,friendly lighting and relaxing pricing and delicious staff,3,positive,friendly lighting and relaxing pricing and delicious staff
2019-05-17,friendly staff and great ambience and delicious food,3,positive,friendly staff and great ambience and delicious food
2021-08-22,amazing staff and amazing menu and affordable music,3,positive,amazing staff and amazing menu and affordable music
2022-03-30,affordable menu,3,positive,affordable menu
2020-10-03,great food and amazing service and affordable staff,3,positive,great food and amazing service and affordable staff
2023-03-18,loved the pricing and perfect food and relaxing menu,5,positive,loved the pricing and perfect food and relaxing menu
2024-11-27,relaxing staff and delicious ambience and amazing lighting,4,positive,relaxing staff and delicious ambience and amazing lighting
2021-09-22,perfect food and quick lighting and delicious pricing,4,positive,perfect food and quick lighting and delicious pricing
2024-06-22,The lighting and staff and music were okay.,3,neutral,the lighting and staff and music were okay
2022-06-12,quick waiting time and perfect ambience and amazing menu,3,positive,quick waiting time and perfect ambience and amazing menu
2021-12-07,slow ambience and dirty menu and long wait lighting,2,negative,slow ambience and dirty menu and long wait lighting
2023-09-19,poor pricing and terrible lighting and bad menu,2,negative,poor pricing and terrible lighting and bad menu
2019-11-13,quick music and relaxing cleanliness and outstanding ambience,3,positive,quick music and relaxing cleanliness and outstanding ambience
2021-02-13,slow ambience and poor cleanliness and hated the food,3,negative,slow ambience and poor cleanliness and hated the food
2024-11-11,terrible menu and terrible cleanliness and hated the pricing,1,negative,terrible menu and terrible cleanliness and hated the pricing
2021-01-16,hated the lighting and terrible cleanliness,3,negative,hated the lighting and terrible cleanliness
2019-02-21,relaxing service and great menu and loved the pricing,5,positive,relaxing service and great menu and loved the pricing
2022-01-26,perfect service and great lighting and friendly music,5,positive,perfect service and great lighting and friendly music
2020-01-09,great ambience,5,positive,great ambience
2021-09-01,The pricing and ambience and food were okay.,3,neutral,the pricing and ambience and food were okay
2020-01-22,rude ambience and terrible menu and poor staff,3,negative,rude ambience and terrible menu and poor staff
2023-10-06,friendly waiting time and friendly pricing and great staff,3,positive,friendly waiting time and friendly pricing and great staff
2023-11-14,outstanding music and quick ambience and amazing pricing,5,positive,outstanding music and quick ambience and amazing pricing
2020-12-07,affordable music and loved the cleanliness,4,positive,affordable music and loved the cleanliness
2019-12-05,noisy pricing,3,negative,noisy pricing
2024-12-22,relaxing cleanliness and great service and delicious music,3,positive,relaxing cleanliness and great service and delicious music
2020-11-20,bad menu and bad ambience,1,negative,bad menu and bad ambience
2023-06-24,The staff and menu were okay.,3,neutral,the staff and menu were okay
2023-12-17,relaxing food and affordable music and affordable waiting time,4,positive,relaxing food and affordable music and affordable waiting time
2024-09-18,outstanding cleanliness and affordable food and friendly waiting time,3,positive,outstanding cleanliness and affordable food and friendly waiting time
2022-01-03,delicious music and loved the service,4,positive,delicious music and loved the service
