Date,Review,Rating,Sentiment_Label,Clean_Review,Predicted_Label,Confidence
2019-09-24,quick ambience and delicious service,3,positive,quick ambience and delicious service,LABEL_2,0.9328467845916748
2021-08-16,delicious lighting,5,positive,delicious lighting,LABEL_1,0.6636159420013428
2023-09-24,slow pricing,2,negative,slow pricing,LABEL_1,0.6143858432769775
2020-07-31,outstanding music and friendly cleanliness,5,positive,outstanding music and friendly cleanliness,LABEL_2,0.9390118718147278
2020-02-10,amazing menu and delicious service and friendly pricing,4,positive,amazing menu and delicious service and friendly pricing,LABEL_2,0.9688776731491089
2024-08-29,amazing staff and great ambience and great cleanliness,5,positive,amazing staff and great ambience and great cleanliness,LABEL_2,0.9765556454658508
2019-07-26,delicious menu and amazing lighting,3,positive,delicious menu and amazing lighting,LABEL_2,0.9626325368881226
2022-07-30,rude food and bad ambience,2,negative,rude food and bad ambience,LABEL_0,0.9560165405273438
2022-03-22,perfect food and relaxing waiting time,4,positive,perfect food and relaxing waiting time,LABEL_2,0.9184110760688782
2023-12-07,relaxing service,5,positive,relaxing service,LABEL_2,0.8592182397842407
2023-06-26,The service and ambience were okay.,3,neutral,the service and ambience were okay,LABEL_2,0.9119436144828796
2023-03-28,perfect ambience and quick waiting time and perfect food,4,positive,perfect ambience and quick waiting time and perfect food,LABEL_2,0.9244165420532227
2022-09-11,noisy waiting time and noisy staff and long wait service,3,negative,noisy waiting time and noisy staff and long wait service,LABEL_0,0.8789712190628052
2023-05-12,delicious waiting time and outstanding service,3,positive,delicious waiting time and outstanding service,LABEL_2,0.8597683906555176
2024-12-22,perfect ambience and quick staff and quick food,3,positive,perfect ambience and quick staff and quick food,LABEL_2,0.9252662062644958
2023-08-27,perfect music and relaxing lighting and perfect ambience,3,positive,perfect music and relaxing lighting and perfect ambience,LABEL_2,0.9561042189598083
2023-07-24,affordable music and great service,4,positive,affordable music and great service,LABEL_2,0.9522438049316406
2023-05-03,quick waiting time and quick staff,5,positive,quick waiting time and quick staff,LABEL_1,0.6450573801994324
2023-01-29,affordable service and outstanding waiting time,3,positive,affordable service and outstanding waiting time,LABEL_2,0.7108219265937805
2023-03-25,The music and lighting were okay.,3,neutral,the music and lighting were okay,LABEL_2,0.9137418270111084
2023-08-03,overpriced music and terrible menu,3,negative,overpriced music and terrible menu,LABEL_0,0.9523751735687256
2024-07-22,terrible lighting and bad food and terrible service,1,negative,terrible lighting and bad food and terrible service,LABEL_0,0.9689910411834717
2024-08-15,delicious menu and friendly waiting time and quick staff,5,positive,delicious menu and friendly waiting time and quick staff,LABEL_2,0.9361780881881714
2021-05-21,hated the staff and rude music and noisy food,3,negative,hated the staff and rude music and noisy food,LABEL_0,0.9780046343803406
2020-10-02,The service were okay.,3,neutral,the service were okay,LABEL_2,0.8579717874526978
2019-03-03,quick food and delicious lighting and delicious pricing,3,positive,quick food and delicious lighting and delicious pricing,LABEL_2,0.95806485414505
2019-02-28,long wait food and terrible lighting and terrible menu,3,negative,long wait food and terrible lighting and terrible menu,LABEL_0,0.9510988593101501
2021-09-01,long wait waiting time,2,negative,long wait waiting time,LABEL_0,0.6667454838752747
2022-05-15,overpriced service,2,negative,overpriced service,LABEL_0,0.9204849004745483
2022-04-18,poor lighting and slow cleanliness and long wait food,1,negative,poor lighting and slow cleanliness and long wait food,LABEL_0,0.8879616260528564
2023-01-31,perfect ambience and affordable cleanliness and amazing food,3,positive,perfect ambience and affordable cleanliness and amazing food,LABEL_2,0.9680570960044861
2022-03-31,terrible lighting and hated the staff,3,negative,terrible lighting and hated the staff,LABEL_0,0.9774277806282043
2019-04-03,great lighting and outstanding food,5,positive,great lighting and outstanding food,LABEL_2,0.9484677314758301
2021-11-30,perfect menu and delicious service,3,positive,perfect menu and delicious service,LABEL_2,0.9499862790107727
2019-09-20,hated the food and long wait cleanliness and overpriced music,3,negative,hated the food and long wait cleanliness and overpriced music,LABEL_0,0.9681988954544067
2023-04-23,relaxing food and affordable lighting and amazing cleanliness,5,positive,relaxing food and affordable lighting and amazing cleanliness,LABEL_2,0.968207597732544
2023-10-22,friendly lighting and delicious music,3,positive,friendly lighting and delicious music,LABEL_2,0.9442976713180542
2024-06-19,delicious service and great lighting and great waiting time,3,positive,delicious service and great lighting and great waiting time,LABEL_2,0.9509171843528748
2020-06-14,The music and staff were okay.,3,neutral,the music and staff were okay,LABEL_2,0.9253670573234558
2021-11-21,affordable service and loved the food and friendly ambience,3,positive,affordable service and loved the food and friendly ambience,LABEL_2,0.9785100221633911
2022-01-04,relaxing cleanliness and amazing service and friendly food,5,positive,relaxing cleanliness and amazing service and friendly food,LABEL_2,0.9778836965560913
2022-02-20,perfect pricing and amazing music and amazing food,4,positive,perfect pricing and amazing music and amazing food,LABEL_2,0.9697097539901733
2024-10-07,hated the ambience and terrible menu and dirty lighting,2,negative,hated the ambience and terrible menu and dirty lighting,LABEL_0,0.9765318632125854
2023-10-27,The music and cleanliness and ambience were okay.,3,neutral,the music and cleanliness and ambience were okay,LABEL_2,0.9377923607826233
2021-01-01,amazing food and perfect lighting,4,positive,amazing food and perfect lighting,LABEL_2,0.9635059237480164
2023-09-02,loved the cleanliness and delicious service,3,positive,loved the cleanliness and delicious service,LABEL_2,0.9821615219116211
2022-03-11,perfect cleanliness and perfect service and delicious staff,3,positive,perfect cleanliness and perfect service and delicious staff,LABEL_2,0.9689599275588989
2023-12-07,affordable menu and friendly pricing and friendly ambience,3,positive,affordable menu and friendly pricing and friendly ambience,LABEL_2,0.851935625076294
2020-06-15,noisy lighting and long wait staff and terrible food,2,negative,noisy lighting and long wait staff and terrible food,LABEL_0,0.9577119946479797
2024-12-22,relaxing cleanliness and great service and delicious music,3,positive,relaxing cleanliness and great service and delicious music,LABEL_2,0.979317307472229
2019-06-01,The staff and menu and waiting time were okay.,3,neutral,the staff and menu and waiting time were okay,LABEL_2,0.9135417342185974
2024-07-31,outstanding service and great menu and amazing lighting,4,positive,outstanding service and great menu and amazing lighting,LABEL_2,0.9627487659454346
2020-01-09,great ambience,5,positive,great ambience,LABEL_2,0.9098790287971497
